# Volume Fraction = 0.002
# Energy [keV]  = 15
# Sample Info: L-C12K1 pH 7
# Date of Experiment: 20201212
,q,I,error
0,0.0022419000000000002,0.9821090595305304,0.47461901994368355
1,0.0024798000000000003,0.639940566101232,0.31773117521474903
2,0.0027177,0.4678592123541155,0.22911213377465833
3,0.0029557,0.32926403072963906,0.16794220926468165
4,0.0031936,0.2552586284239225,0.1410261360823836
5,0.0034314999999999997,0.17778359782604874,0.1083627549650849
6,0.0036694,0.13729060895683978,0.0642713413114461
7,0.0039073,0.10621862913356248,0.049496306317865085
8,0.0041453,0.084574448106782,0.046282306256078924
9,0.0043832,0.0792250166202678,0.03869120716562659
10,0.0046211,0.06739006971194259,0.03414041967635219
11,0.0048590000000000005,0.05122012293416919,0.021550699640094696
12,0.005097,0.039539287640039555,0.032206568418723804
13,0.0053349,0.029721811479108746,0.01714060384287716
14,0.0055728,0.031116011713047433,0.01912340344459088
15,0.0058107,0.026699661483533546,0.01359619654939198
16,0.0060487,0.020983885932022023,0.009164716070681507
17,0.006286600000000001,0.016863721489329124,0.008484162204194085
18,0.006524500000000001,0.022650340297642377,0.012539619237138757
19,0.006762399999999999,0.018011132443874034,0.007978684008493974
20,0.0070003,0.013080129413355474,0.0069277307402232195
21,0.0072383,0.013457959449235118,0.008405310171437107
22,0.0074762,0.008756772465234342,0.0059240951357528195
23,0.007714100000000001,0.008988649451197402,0.005757184610061759
24,0.007951999999999999,0.007283425752792258,0.006019551141851326
25,0.008190000000000001,0.009887635868528304,0.004020205575275931
26,0.0084279,0.008770420292696616,0.003679754680865067
27,0.0086658,0.007081120632027402,0.002429271378351174
28,0.0089037,0.00561177058118114,0.0027920421585631403
29,0.0091417,0.007307000338522858,0.0029468085954690248
30,0.0093796,0.003999196817203329,0.003160932836100541
31,0.0096175,0.00354319316686969,0.003746694289231465
32,0.0098554,0.003984729073757045,0.004772867170902003
33,0.010093000000000001,0.004481343437228765,0.00411660035896967
34,0.010331,0.004111641376015104,0.0032285601079338044
35,0.010569,0.00203820364383597,0.001970093281838375
36,0.010806999999999999,0.004028906192718253,0.003265263537500808
37,0.011045000000000001,0.004235151370000514,0.00289308598862444
38,0.011283,0.002062763958406519,0.0016143445357357873
41,0.011997,0.0010227179715979137,0.004779272627054789
42,0.012235,0.001780892395198036,0.003277068190425383
43,0.012473,0.0020783483656720892,0.0020498439866341515
44,0.012709999999999999,0.0012459020756479574,0.0031686674559750147
45,0.012948,0.000640688868084572,0.0034262540623090187
46,0.013186000000000002,0.0021275859214650193,0.002817803177544635
47,0.013424,0.0007063081622725923,0.001657011443671245
48,0.013662,0.000700595337618157,0.0018201478703924621
49,0.0139,0.001016305588222087,0.0022838187386807576
50,0.014138,0.001649022288548359,0.001962601606264893
51,0.014376,0.0013869356296603381,0.0019141653598788912
54,0.015090000000000001,0.002702129125309334,0.0010862877755406736
55,0.015328,0.0017591985274913412,0.001804463031142214
56,0.015566,0.0016268038518601035,0.001783595755005298
58,0.016041,0.0008450843457823441,0.002514689410035364
59,0.016279,0.003255702120209269,0.0031772476229573513
64,0.017469,0.0006398779288654928,0.001190285810842128
65,0.017707,0.0003654830102719544,0.0015932048810395898
66,0.017945,0.0002551655445172263,0.0022171035085826953
71,0.019134,0.0007577940260379418,0.002206413775482706
72,0.019372,0.0007796776351109639,0.0015987714474161633
73,0.01961,0.00108912710674853,0.001030220270852549
74,0.019847999999999998,0.001788303086320126,0.0017203447500695112
75,0.020086,0.0009372711191616771,0.0021850451312370404
76,0.020324000000000002,0.0008060766998998289,0.0019760227251516063
77,0.020562,0.0007178083416013724,0.0008610151648539533
79,0.021038,0.0006738671914871628,0.0019455651886685307
80,0.021276,0.0009516113296510468,0.001351566614113254
81,0.021514,0.0005038141292057126,0.0019081717336760409
82,0.021752,0.0006924247947896678,0.0018593465069913057
88,0.023178999999999998,0.00047995265864595436,0.001690058044355399
89,0.023417,0.0007199681398148229,0.0014175056765069294
90,0.023655000000000002,0.0003850532155324215,0.002595772460470814
91,0.023893,0.0018109244482482308,0.0018097744054704642
94,0.024607,0.0001531892087136123,0.0015044864170275399
95,0.024845,0.0006751172488901656,0.0012776265900025282
96,0.025082,0.0001554659335788992,0.0010492025188012738
97,0.02532,0.00036700991796745884,0.0011660331561478335
98,0.025558,0.0005583185874243996,0.001112169264493945
107,0.0277,0.0005737937297356072,0.0008199620713944807
109,0.028175,0.0008497671581289497,0.0012386141876632676
110,0.028413,0.0002242920769885863,0.0012502850394302588
111,0.028651,0.00047907076295992246,0.0015522172865543246
112,0.028888999999999998,0.0006131121031924218,0.0018672023763713806
113,0.029126999999999997,0.000730486020914477,0.0016075764068568673
118,0.030317,0.0002971750320369699,0.000655996888838641
120,0.030793,0.00014231548750750437,0.0013862655512677788
121,0.031031,0.0009055482038075925,0.0012033111303467907
122,0.031268000000000004,0.001011013242099478,0.0006307667166105435
123,0.031506,0.0011405089658294125,0.0019750287761864
125,0.031982,0.003225691279769265,0.00555351932768904
126,0.03222,0.008108788975026838,0.015307647552614559
127,0.032458,0.00593952127513987,0.011735218857005075
129,0.032934,0.0007665124088246517,0.00143715748906466
130,0.033172,0.00017060330366725426,0.0013040304710715909
136,0.034599,0.0005094485072262611,0.0013254654821437059
138,0.035075,0.0005325211374182419,0.0009569075181981427
141,0.035789,0.0010756011231469235,0.0012365053056919502
142,0.036026999999999997,0.0007051661405217567,0.0006696325950701608
143,0.036265,0.0006302787653412579,0.000714467868660716
144,0.036503,0.0001573972817007013,0.001465422903580518
145,0.036741,0.0005481643796592381,0.0012199744931589694
146,0.036979000000000005,0.0003328944946331886,0.0013496871706816464
150,0.03793,0.00047790103902676536,0.0008803020407881617
152,0.038406,0.0006165981183688866,0.0012427750652108198
155,0.03912,0.00014175043731836696,0.0010057187197947844
162,0.040785,0.00028813871739327446,0.001058791174008601
167,0.041975,0.0005075690185045561,0.0008834059402896955
168,0.042213,0.0006899324846232801,0.0012998598745765791
169,0.042450999999999996,0.001189006967696598,0.0009777201086962127
170,0.042689,0.000415559064524156,0.0010136248644748273
171,0.042927,0.00020578844862951883,0.0010732212921296604
173,0.043403,0.0007208518365715362,0.0012959835379389186
174,0.04364,0.0012342251055086702,0.0011706689526300258
177,0.044354000000000005,0.0003128494356594968,0.0009417289172633949
180,0.045068000000000004,0.00019906954017763793,0.0007667333684533324
185,0.046258,0.00014128750497772777,0.0010150105496724057
189,0.047209,0.0009293856029148229,0.0010648489967898568
190,0.047447,0.0007136419791240703,0.0011401190536730235
191,0.047685000000000005,0.00047092797949059144,0.001147519414468364
196,0.048875,0.0006591911527877312,0.0008409751628501513
197,0.049113,0.0004900658134350726,0.000997745850509261
198,0.049351,0.0020943147714515505,0.0055168449280512104
199,0.049588,0.0030359309593254017,0.007095868703412916
201,0.050064,0.000370992714177915,0.001115299405573748
202,0.050302,0.0006545158020196438,0.0010656113975130396
205,0.051016000000000006,0.0005092237164528173,0.000967024420341798
206,0.051253999999999994,0.0002620954641224474,0.000877957550988366
210,0.052205999999999995,0.0004367122107900687,0.0006278504240000231
212,0.05268099999999999,0.0002358800513657155,0.0013058845164909837
214,0.053157,0.0002274595885395843,0.0010995998674223938
215,0.053395000000000005,0.00027400245671666803,0.0008912680446861407
216,0.05363300000000001,0.000360835476039862,0.0006213051124628265
217,0.053871,0.0004902805410834789,0.0007792629614769305
219,0.054347,0.0003652822909510335,0.0010988647507555898
220,0.054585,0.0006312931969583224,0.0006477637949367539
221,0.054823000000000004,0.000309477288173566,0.000557165118401179
223,0.055299,0.00033243799468781333,0.0009076201575095802
224,0.055537,0.0006783734703190785,0.0007223817972293605
225,0.055774000000000004,0.0004920871865022723,0.000733343259024642
226,0.056012,0.00020112930749750479,0.0008254651428368529
229,0.056726,0.00020110843794840334,0.0009473135068444773
232,0.05744,0.00024564762929239314,0.000805213889446866
233,0.057678,0.00048346251656756546,0.0010833580853074468
235,0.058154,0.0002547739974698971,0.000877231871583652
236,0.05839199999999999,0.000708641435039435,0.001332914231628819
239,0.059105,0.0004031871383996689,0.001282604551513294
240,0.05934299999999999,0.00041175000016290946,0.0010646871972283967
243,0.060057000000000006,0.000274258008633721,0.0013424074618957928
244,0.060295,0.00024443336459552327,0.000827692783788466
249,0.061485000000000005,0.0006396073966145569,0.000699557131411536
250,0.061722000000000006,0.0008258561152429696,0.0008462185785430059
251,0.06196,0.00016005746308948618,0.000784301367342618
252,0.062198,0.00017641032717690636,0.0013217311530923416
253,0.062436,0.00039242522651760113,0.001125416666930196
254,0.06267400000000001,0.0008472958604537924,0.0006032088585332856
255,0.062912,0.0001700589800850992,0.0011199279093704918
256,0.06315,0.00017073326664017325,0.0006499507560159602
262,0.064578,0.0001957875034023573,0.0005309904013919138
263,0.064815,0.000989473265876106,0.0011477784955452274
264,0.065053,0.0010177149974972938,0.0006761567306044885
265,0.065291,0.0007603702432271023,0.0008558105312053817
266,0.06552899999999999,0.00038791454506846963,0.0010273065557790896
267,0.06576699999999999,0.0005554505681972704,0.0009828436774484647
268,0.066005,0.001019060454469273,0.0007763795175675727
270,0.066481,0.00043580006855203744,0.0011803723286259264
274,0.067433,0.0004388759542059469,0.000526788130397093
275,0.06767000000000001,0.0005576501900845638,0.0009812414192023238
277,0.068146,0.0004591612988785854,0.0006303883362638401
280,0.06886,0.000826002716678329,0.0010943237205204366
285,0.07005,0.0005634002940431593,0.002885101752043858
286,0.070288,0.0013638172008140037,0.0019955337704399816
287,0.070526,0.0004639092070653462,0.000571329807680903
291,0.071477,0.0003306103653662252,0.0010142634050582283
292,0.071715,0.000244869023580213,0.00102438093723223
293,0.071953,0.00032514460186708024,0.0007342628559785861
294,0.07219099999999999,0.0002084852517887153,0.0006064966912592894
297,0.072905,0.0001285983902952564,0.0009073543033286786
300,0.073619,0.0004244059522741982,0.0012406363056954744
301,0.07385599999999999,0.0010160671607706635,0.001441075970146905
302,0.07409400000000001,0.0005531730142676998,0.0008572359812203698
303,0.07433200000000001,0.0005808969809521065,0.0005275387533077168
304,0.07457000000000001,0.00036412365932617335,0.0010455154509969266
305,0.074808,0.0008566876149660252,0.001955204182705769
306,0.075046,0.0031866773444335856,0.0059015527391498524
307,0.075284,0.0015212700584098533,0.002770579844530567
308,0.075522,0.0012749326190484773,0.0008906019605907704
309,0.07576000000000001,0.0006727535294523627,0.0010693433683750403
310,0.075998,0.000294061409664132,0.0006489308769528155
314,0.076949,0.00018334124737694603,0.0006637985064786522
316,0.077425,0.00045927127854352334,0.0009995760556059951
317,0.077663,0.000307598571339298,0.0012633030258758092
318,0.077901,0.000384581735253183,0.0009298679793301613
319,0.078139,0.0006767152559947418,0.0009404881982016369
320,0.078377,0.0015084187616012522,0.0006147016318009698
321,0.078615,0.00020444856640009908,0.0011887433512131403
322,0.07885299999999999,0.00010601562273877946,0.0008217873724328677
328,0.08027999999999999,0.0006024379291818664,0.0007658533653025481
329,0.08051799999999999,0.00035613774053622,0.0009735632712451605
330,0.080756,0.0008232967652236312,0.0008350957440253587
331,0.08099400000000001,0.0002177345215985564,0.0007465271270080998
332,0.081232,0.0007013687688256844,0.000763760524989938
333,0.08147,0.0006952149677397974,0.001211806313219908
336,0.08218400000000001,0.0007280509447717998,0.0006011206182691755
337,0.08242200000000001,0.0010413747195528818,0.0009438946272100194
338,0.082659,0.000561511456907002,0.0011212302583262874
339,0.082897,0.0010397293986075136,0.00048738071900177726
341,0.083373,0.0005725635412868971,0.0007086626779882021
342,0.083611,0.0011054172478349427,0.0005982399683681721
345,0.084325,0.0002479921944864788,0.0004531969964778913
346,0.084563,0.0002203105100803452,0.0006926391860290819
347,0.084801,0.00015033162426102625,0.0008585938906257302
348,0.085039,0.0004466743901150425,0.0006676872163225995
349,0.08527699999999999,0.00029137850047872754,0.0014140355831762793
351,0.085752,0.00044127929719862215,0.0005690706766225909
352,0.08599,0.0003870105505311262,0.0006851604615188301
353,0.086228,0.0006629737442688911,0.0007128540381696374
355,0.086704,0.0003856019703202032,0.0007972408153981663
356,0.08694199999999999,0.00012144682464316636,0.0011368981003378328
357,0.08718,0.0001104195836032164,0.0010213334735187974
358,0.087418,0.0002158455986971267,0.0004956216581220955
359,0.087656,0.00017050758962560404,0.0007626752275612342
360,0.087894,0.00014665289452219933,0.0009438610351410217
361,0.088132,0.0003494888451333348,0.0010826370423926617
365,0.08908300000000001,0.0005626206877361606,0.0008942434526030419
366,0.089321,0.0003384917648801067,0.0007765361009897152
367,0.089559,0.000340073333641233,0.0009338757951369598
368,0.089797,0.00035829859652133575,0.0005315110638383969
369,0.090035,0.0006594212324195161,0.0005271530276684922
370,0.090273,0.0008450957239748792,0.0004801163237369883
371,0.09051100000000001,0.0010546215371996705,0.0008739056337678683
372,0.090749,0.0007800961124531628,0.000647102982554137
373,0.090987,0.00048097255065189976,0.0007559400468778563
374,0.091225,0.0008810113317442532,0.000557121434702214
375,0.091462,0.0022778488191561113,0.00400500283717148
376,0.0917,0.0017205160177485026,0.0020551529436343557
377,0.091938,0.0006231457249875473,0.0005194192527194748
378,0.092176,0.0006694244075436866,0.0011088690651092255
379,0.092414,0.0002392455949258425,0.0005169076479528969
382,0.093128,0.00020855406412391178,0.0007991431175975253
386,0.09408,0.0012625905964148948,0.0022936014944635315
387,0.094317,0.0016478872995496793,0.0029590445235990973
390,0.09503099999999999,0.0001192372825729394,0.0008072247389439089
391,0.095269,0.0005052513836053351,0.0009882119131135847
396,0.096459,0.0004183133590028754,0.0010770803211114673
397,0.096697,0.00030363084122799237,0.0010520304460313087
400,0.09741,0.00022564985557106259,0.0006906944827552414
401,0.097648,0.0006464543812034029,0.0008446173520518104
405,0.0986,0.0004789953181104914,0.0008427374246263329
406,0.098838,0.000419386168180593,0.0007549533377058639
407,0.099076,0.00029974007115258583,0.0009065541969925689
408,0.099314,0.00045525637753355966,0.0006457070001023901
411,0.10003,0.00024072232993823306,0.0010018129223729145
418,0.10169,0.000260380816250258,0.0010500876102538684
419,0.10192999999999999,0.000320773489101162,0.0008270165282634286
422,0.10264000000000001,0.0006418991589905636,0.0008832262033953512
423,0.10288,0.0006873614419387525,0.0004855106635383703
424,0.10312,0.00023657743736692463,0.0009290249733452332
429,0.10430999999999999,0.00016717758147580253,0.0007295406183448266
430,0.10455,0.0003517456152790714,0.000606966453831978
431,0.10479000000000001,0.0005866657245627797,0.0015684321947046615
432,0.10502,0.0010694688491438818,0.002422683878044487
436,0.10597999999999999,0.0008155597086596496,0.0009176330759949259
437,0.10620999999999998,0.0001517011240971174,0.000798540751683943
438,0.10645,0.000108988104065129,0.000855701890119915
439,0.10669000000000001,0.00019498045220887913,0.0005400357602976228
447,0.10859,0.0005187487787835047,0.00089310186924031
448,0.10883,0.006933879559281524,0.011394402667820217
449,0.10907,0.0015689500597173727,0.0020101046687368623
450,0.10930999999999999,0.00023560005634662407,0.0016739725511418012
451,0.10954000000000001,0.0004606394919005577,0.0008629653054146229
452,0.10977999999999999,0.000136355916170408,0.0008053727380484709
458,0.11120999999999999,0.0001781254324638689,0.0006447467452096012
460,0.11169000000000001,0.0001693271164452447,0.0004930553953354377
461,0.11192,0.0006138665230983708,0.0008072234535279808
463,0.1124,0.0004576484852758238,0.0007325762031797112
464,0.11264,0.000228184533780981,0.0005254049427099407
465,0.11288,0.000376626691960532,0.00046121349389119945
471,0.1143,0.0005945651919602676,0.000631896369596662
472,0.11454,0.00048363990773496966,0.0006055177969825203
473,0.11478,0.00039565388870632656,0.0009797569251383937
474,0.11502000000000001,0.0008132937330415699,0.0005218168140574727
477,0.11573,0.0003960688496724498,0.0009476750161877441
478,0.11597,0.0006623106643758024,0.0007988176788414353
479,0.11621,0.0006035901284114528,0.00084324329808871
481,0.11667999999999999,0.00021016556496436355,0.0008436455036791722
485,0.11763,0.001145247525601721,0.0007956978925389948
486,0.11787,0.0007264981931415019,0.0004807865149639124
487,0.11810999999999999,0.0032086296514881206,0.005394404145098804
488,0.11835,0.002724949891490887,0.004895993031031968
489,0.11859000000000001,0.0008387096133601786,0.0018678885653477444
490,0.11875,0.00013022038308709808,0.00032750633275625645
491,0.12009,0.00010794171059066129,0.0002438515874226051
493,0.12275,0.0002955941208096022,0.0003453830108423624
494,0.12409,0.00027732437434263335,0.0003594758307528176
495,0.12542,0.0001630185090464689,0.00026021795179492996
496,0.12675,0.00012445186818380643,0.0002890286309975156
497,0.12809,0.00020115629496923095,0.00024512257518526955
498,0.12942,0.00017096823489236787,0.00023356909013591513
499,0.13076,0.00023958691211319137,0.0002926155687586209
503,0.13609000000000002,0.00019846543820209946,0.00023116987728692592
504,0.13742000000000001,0.0002508213620461678,0.00026537934484930004
505,0.13876,0.00026392280755981225,0.0002576964704453005
506,0.14009000000000002,0.0001379751072967645,0.00027901627558636226
509,0.14409,0.0001476226138450259,0.00024279069991588902
514,0.15075999999999998,0.00010678450838698191,0.0002648573072818524
516,0.15342999999999998,0.00014618838981827518,0.00034734208225216027
522,0.16143,0.00019247876503959357,0.0002233933324402178
525,0.16543,0.00030764837237291613,0.0003036997856873709
526,0.16676,0.00031048414385841393,0.0002739612545493596
527,0.16809000000000002,0.0003065032916607632,0.00025203937742853327
528,0.16943,0.00029054280368495097,0.00020602326887827346
529,0.17076,0.0003848973228594465,0.00021108148444748038
530,0.17209000000000002,0.0004147683373204494,0.0002836344722015176
531,0.17343,0.0003399179555598778,0.0002512312468889422
532,0.17476,0.0002593970028346935,0.00026681373324641977
533,0.1761,0.0004097069856591714,0.0002842501842836495
534,0.17743,0.0002454860189347249,0.000290644441812385
535,0.17876,0.00038167060468350674,0.0002138225053599922
536,0.1801,0.0002418267007354077,0.00025613084486058506
537,0.18143,0.0002890518316376935,0.0002359546591023478
538,0.18275999999999998,0.0002942303100697786,0.000263278263549876
539,0.1841,0.00014074398187143057,0.00023180891719453878
541,0.18675999999999998,0.00016468515695571663,0.0002119426137476724
542,0.1881,0.0002840546323986136,0.00022752682066836085
543,0.18943,0.00019349997211301655,0.00026426986736804975
544,0.19075999999999999,0.00012029179515965419,0.00025740461591829307
545,0.1921,0.0001294933508907917,0.0002622960757414631
546,0.19343,0.00023978291434424747,0.00025999012234356023
547,0.19476,0.00020590208761265633,0.0002814459876830819
548,0.1961,0.0002316592851186188,0.00033681110585932766
549,0.19743,0.0002769493799924772,0.00025265738437688014
552,0.20143,0.000168932367494489,0.00030164700311066965
553,0.20277,0.00024202493286348757,0.0002345492968518217
554,0.2041,0.00020086060490566112,0.00029586147769026047
555,0.20543000000000003,0.0002523721124868285,0.00032320800426615683
556,0.20676999999999998,0.00029195275614019814,0.0002972659747784422
557,0.2081,0.0002297029221263119,0.00025724440953088946
559,0.21076999999999999,0.00013495225316832051,0.000236314876933566
560,0.2121,0.00020693367228378584,0.00022627673738007418
561,0.21343,0.00017373450792050458,0.00023919865066948415
562,0.21477,0.00010122731910969934,0.00022445831224725117
563,0.2161,0.0001983313013193612,0.0002635986473057984
565,0.21877,0.00018764100343798503,0.00032111916014204315
566,0.2201,0.00020670828115343495,0.00027413657264914156
567,0.22143000000000002,0.00018770772881827682,0.00020652574259027653
568,0.22276999999999997,0.0002944061574622989,0.00023260764462838612
570,0.22543000000000002,0.00017588830256503351,0.00022822799832775167
571,0.22676999999999997,0.00013182353610789637,0.00021631020241220198
572,0.2281,0.00018398474419998022,0.000419567494389178
574,0.23076999999999998,0.0001651531494472955,0.0002364543722542941
575,0.2321,0.0001249935330425855,0.0002505171383949878
576,0.23343000000000003,0.0001807461332399005,0.00021775536745886578
577,0.23476999999999998,0.0001391535506990658,0.0002521601316209281
578,0.2361,0.00014370191169025428,0.00026975410018451203
579,0.23743000000000003,0.00035631596076789304,0.0003011707723744754
580,0.23876999999999998,0.00038564919839571284,0.00023117757180144216
581,0.2401,0.00013615771263075888,0.00027143813746350416
582,0.24144000000000002,0.0001575497437628632,0.0002726787528504107
583,0.24276999999999999,0.00014964964742004747,0.00026581104480781796
584,0.2441,0.00014582980522316792,0.0002142397315588011
585,0.24544000000000002,0.0001401338763269656,0.00023587659472820046
587,0.2481,0.00019569530573679253,0.00024299956598777044
588,0.24944000000000002,0.00023970598289679894,0.00025612047580003493
589,0.25077,0.00018553766736081306,0.00023488228610066188
591,0.25344,0.0001006328800212721,0.00021476096222606126
